slot,property,sample_type,value
CAS,title,other-undescribed,CAS number
CAS,description,other-undescribed,A unique numerical identifier assigned by the Chemical Abstract Service (CAS) a division of the American Chemical Society to chemical compounds polymers biological sequences mixtures and alloys.
CAS,type,other-undescribed,string
LIMS_ID,title,monet-soil,LIMS ID
LIMS_ID,description,monet-soil,An EMSL internal LIMS identifier for your sample. This will be provided by the MPOC and should not be edited.
LIMS_ID,type,monet-soil,string
agrochem_addition,title,other-undescribed,agrochemical addition
agrochem_addition,title,soil,agrochemical addition
agrochem_addition,title,monet-soil,agrochemical additions
agrochem_addition,description,other-undescribed,Addition of fertilizers pesticides etc. - amount and time of applications
agrochem_addition,description,soil,Addition of fertilizers pesticides etc. - amount and time of applications
agrochem_addition,description,monet-soil,Addition of fertilizers pesticides etc. - amount and time of applications
agrochem_addition,type,other-undescribed,string
agrochem_addition,type,soil,string
agrochem_addition,type,monet-soil,string
air_temp_regm,title,field-deployed-terraform,air temperature regimen
air_temp_regm,title,other-undescribed,air temperature regimen
air_temp_regm,title,soil,air temperature regimen
air_temp_regm,title,water,air temperature regimen
air_temp_regm,title,aerosol,air temperature regimen
air_temp_regm,title,aerosol-arm,air temperature regimen
air_temp_regm,title,pure-culture,air temperature regimen
air_temp_regm,title,culture-environmental,air temperature regimen
air_temp_regm,title,mixed-culture,air temperature regimen
air_temp_regm,title,sediment,air temperature regimen
air_temp_regm,title,terraform,air temperature regimen
air_temp_regm,title,plant,air temperature regimen
air_temp_regm,description,field-deployed-terraform,Information about treatment involving an exposure to varying temperatures; should include the temperature treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include different temperature regimens
air_temp_regm,description,other-undescribed,Information about treatment involving an exposure to varying temperatures; should include the temperature treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include different temperature regimens
air_temp_regm,description,soil,Information about treatment involving an exposure to varying temperatures; should include the temperature treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include different temperature regimens
air_temp_regm,description,water,Information about treatment involving an exposure to varying temperatures; should include the temperature treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include different temperature regimens
air_temp_regm,description,aerosol,Information about treatment involving an exposure to varying temperatures; should include the temperature treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include different temperature regimens
air_temp_regm,description,aerosol-arm,Information about treatment involving an exposure to varying temperatures; should include the temperature treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include different temperature regimens
air_temp_regm,description,pure-culture,Information about treatment involving an exposure to varying temperatures; should include the temperature treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include different temperature regimens
air_temp_regm,description,culture-environmental,Information about treatment involving an exposure to varying temperatures; should include the temperature treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include different temperature regimens
air_temp_regm,description,mixed-culture,Information about treatment involving an exposure to varying temperatures; should include the temperature treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include different temperature regimens
air_temp_regm,description,sediment,Information about treatment involving an exposure to varying temperatures; should include the temperature treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include different temperature regimens
air_temp_regm,description,terraform,Information about treatment involving an exposure to varying temperatures; should include the temperature treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include different temperature regimens
air_temp_regm,description,plant,Information about treatment involving an exposure to varying temperatures; should include the temperature treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include different temperature regimens
air_temp_regm,type,field-deployed-terraform,string
air_temp_regm,type,other-undescribed,string
air_temp_regm,type,soil,string
air_temp_regm,type,water,string
air_temp_regm,type,aerosol,string
air_temp_regm,type,aerosol-arm,string
air_temp_regm,type,pure-culture,string
air_temp_regm,type,culture-environmental,string
air_temp_regm,type,mixed-culture,string
air_temp_regm,type,sediment,string
air_temp_regm,type,terraform,string
air_temp_regm,type,plant,string
al_sat,title,other-undescribed,aluminum saturation
al_sat,title,soil,aluminum saturation
al_sat,description,other-undescribed,Aluminum saturation (esp. For tropical soils)
al_sat,description,soil,Aluminum saturation (esp. For tropical soils) (Unit: percent)
al_sat,type,other-undescribed,string
al_sat,type,soil,string
al_sat_meth,title,other-undescribed,aluminum saturation method
al_sat_meth,title,soil,aluminum saturation method
al_sat_meth,description,other-undescribed,Reference or method used in determining Al saturation
al_sat_meth,description,soil,Reference or method used in determining Al saturation
al_sat_meth,type,other-undescribed,string
al_sat_meth,type,soil,string
alkalinity,title,other-undescribed,alkalinity
alkalinity,title,water,alkalinity
alkalinity,title,sediment,alkalinity
alkalinity,description,other-undescribed,Alkalinity the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate
alkalinity,description,water,Alkalinity the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate (Unit: mg/L or meq/L)
alkalinity,description,sediment,Alkalinity the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate (Unit: mg/L or meq/L)
alkalinity,type,other-undescribed,string
alkalinity,type,water,string
alkalinity,type,sediment,string
alkalinity_method,title,other-undescribed,alkalinity method
alkalinity_method,title,water,alkalinity method
alkalinity_method,title,sediment,alkalinity method
alkalinity_method,description,other-undescribed,Method used for alkalinity measurement
alkalinity_method,description,water,Method used for alkalinity measurement
alkalinity_method,description,sediment,Method used for alkalinity measurement
alkalinity_method,type,other-undescribed,string
alkalinity_method,type,water,string
alkalinity_method,type,sediment,string
alkyl_diethers,title,other-undescribed,alkyl diethers
alkyl_diethers,title,water,alkyl diethers
alkyl_diethers,title,sediment,alkyl diethers concentration
alkyl_diethers,description,other-undescribed,Concentration of alkyl diethers
alkyl_diethers,description,water,Concentration of alkyl diethers. Provide value and unit any unit is valid
alkyl_diethers,description,sediment,Concentration of alkyl diethers. Provide value and unit any unit is valid
alkyl_diethers,type,other-undescribed,string
alkyl_diethers,type,water,string
alkyl_diethers,type,sediment,string
alt,title,other-undescribed,altitude
alt,title,aerosol,altitude
alt,title,aerosol-arm,altitude
alt,title,culture-environmental,altitude
alt,description,other-undescribed,Altitude is a term used to identify heights of objects such as airplanes space shuttles rockets atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earthbs surface. In this context the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air
alt,description,aerosol,Altitude is a term used to identify heights of objects such as airplanes space shuttles rockets atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earthbs surface. In this context the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air. For ARM this can be a range. (Unit: m)
alt,description,aerosol-arm,Altitude is a term used to identify heights of objects such as airplanes space shuttles rockets atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earthbs surface. In this context the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air Required units be provided as 'm' for meters.
alt,description,culture-environmental,Altitude is a term used to identify heights of objects such as airplanes space shuttles rockets atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earthbs surface. In this context the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air. For ARM this can be a range. (Unit: m)
alt,type,other-undescribed,string
alt,type,aerosol,string
alt,type,aerosol-arm,string
alt,type,culture-environmental,string
aminopept_act,title,other-undescribed,aminopeptidase activity
aminopept_act,title,water,aminopeptidase activity
aminopept_act,title,sediment,aminopeptidase activity
aminopept_act,description,other-undescribed,Measurement of aminopeptidase activity
aminopept_act,description,water,Measurement of aminopeptidase activity (Unit: mol/L/h
aminopept_act,description,sediment,Measurement of aminopeptidase activity (Unit: mol/L/h
aminopept_act,type,other-undescribed,string
aminopept_act,type,water,string
aminopept_act,type,sediment,string
ammonium,title,other-undescribed,ammonium
ammonium,title,water,ammonium
ammonium,title,sediment,ammonium concentration
ammonium,description,other-undescribed,Concentration of ammonium in the sample
ammonium,description,water,Concentration of ammonium in the sample. (Units: umol/L or mg/Liter or ppm
ammonium,description,sediment,Concentration of ammonium in the sample. (Units: umol/L or mg/Liter or ppm
ammonium,type,other-undescribed,string
ammonium,type,water,string
ammonium,type,sediment,string
analysis_type,title,field-deployed-terraform,analysis type
analysis_type,title,other-undescribed,analysis type
analysis_type,title,soil,analysis type
analysis_type,title,water,analysis type
analysis_type,title,aerosol,analysis type
analysis_type,title,aerosol-arm,analysis type
analysis_type,title,pure-culture,analysis type
analysis_type,title,culture-environmental,analysis type
analysis_type,title,commercially-purchased,analysis type
analysis_type,title,mixed-culture,analysis type
analysis_type,title,sediment,analysis type
analysis_type,title,terraform,analysis type
analysis_type,title,synthesized-material,analysis type
analysis_type,title,plant,analysis type
analysis_type,description,field-deployed-terraform,The analyses planned for this sample. The analysis types will later be mapped to an allocated resource. This field is constrained to contain only a set of limited terms. Include all the data types. This field can have multiple values separated by a ';'.
analysis_type,description,other-undescribed,The analyses planned for this sample. The analysis types will later be mapped to an allocated resource. This field is constrained to contain only a set of limited terms. Include all the data types. This field can have multiple values separated by a ";".
analysis_type,description,soil,The analyses planned for this sample. The analysis types will later be mapped to an allocated resource. This field is constrained to contain only a set of limited terms. Include all the data types. This field can have multiple values separated by a ';'.
analysis_type,description,water,The analyses planned for this sample. The analysis types will later be mapped to an allocated resource. This field is constrained to contain only a set of limited terms. Include all the data types. This field can have multiple values separated by a ';'.
analysis_type,description,aerosol,The analyses planned for this sample. The analysis types will later be mapped to an allocated resource. This field is constrained to contain only a set of limited terms. Include all the data types. This field can have multiple values separated by a ';'.
analysis_type,description,aerosol-arm,The analyses planned for this sample. The analysis types will later be mapped to an allocated resource. This field is constrained to contain only a set of limited terms. Include all the data types. This field can have multiple values separated by a ';'.
analysis_type,description,pure-culture,The analyses planned for this sample. The analysis types will later be mapped to an allocated resource. This field is constrained to contain only a set of limited terms. Include all the data types. This field can have multiple values separated by a ';'.
analysis_type,description,culture-environmental,The analyses planned for this sample. The analysis types will later be mapped to an allocated resource. This field is constrained to contain only a set of limited terms. Include all the data types. This field can have multiple values separated by a ';'.
analysis_type,description,commercially-purchased,The analyses planned for this sample. The analysis types will later be mapped to an allocated resource. This field is constrained to contain only a set of limited terms. Include all the data types. This field can have multiple values separated by a ';'.
analysis_type,description,mixed-culture,The analyses planned for this sample. The analysis types will later be mapped to an allocated resource. This field is constrained to contain only a set of limited terms. Include all the data types. This field can have multiple values separated by a ';'.
analysis_type,description,sediment,The analyses planned for this sample. The analysis types will later be mapped to an allocated resource. This field is constrained to contain only a set of limited terms. Include all the data types. This field can have multiple values separated by a ';'.
analysis_type,description,terraform,The analyses planned for this sample. The analysis types will later be mapped to an allocated resource. This field is constrained to contain only a set of limited terms. Include all the data types. This field can have multiple values separated by a ';'.
analysis_type,description,synthesized-material,The analyses planned for this sample. The analysis types will later be mapped to an allocated resource. This field is constrained to contain only a set of limited terms. Include all the data types. This field can have multiple values separated by a ';'.
analysis_type,description,plant,The analyses planned for this sample. The analysis types will later be mapped to an allocated resource. This field is constrained to contain only a set of limited terms. Include all the data types. This field can have multiple values separated by a ';'.
analysis_type,type,field-deployed-terraform,string
analysis_type,type,other-undescribed,string
analysis_type,type,soil,string
analysis_type,type,water,string
analysis_type,type,aerosol,string
analysis_type,type,aerosol-arm,string
analysis_type,type,pure-culture,string
analysis_type,type,culture-environmental,string
analysis_type,type,commercially-purchased,string
analysis_type,type,mixed-culture,string
analysis_type,type,sediment,string
analysis_type,type,terraform,string
analysis_type,type,synthesized-material,string
analysis_type,type,plant,string
analysis_type,enum,field-deployed-terraform,metabolomeproteomelipidomeorganic mattermolecular structurechemical speciation mappinggenometranscriptomeisotope profilingimaging- xrayimaging- electronimaging- ionimaging- lighthydraulic propertiesunknown
analysis_type,enum,other-undescribed,metabolomeproteomelipidomeorganic mattermolecular structurechemical speciation mappinggenometranscriptomeisotope profilingimaging- xrayimaging- electronimaging- ionimaging- lighthydraulic propertiesunknown
analysis_type,enum,soil,metabolomeproteomelipidomeorganic mattermolecular structurechemical speciation mappinggenometranscriptomeisotope profilingimaging- xrayimaging- electronimaging- ionimaging- lighthydraulic propertiesunknown
analysis_type,enum,water,metabolomeproteomelipidomeorganic mattermolecular structurechemical speciation mappinggenometranscriptomeisotope profilingimaging- xrayimaging- electronimaging- ionimaging- lighthydraulic propertiesunknown
analysis_type,enum,aerosol,metabolomeproteomelipidomeorganic mattermolecular structurechemical speciation mappinggenometranscriptomeisotope profilingimaging- xrayimaging- electronimaging- ionimaging- lighthydraulic propertiesunknown
analysis_type,enum,aerosol-arm,metabolomeproteomelipidomeorganic mattermolecular structurechemical speciation mappinggenometranscriptomeisotope profilingimaging- xrayimaging- electronimaging- ionimaging- lighthydraulic propertiesunknown
analysis_type,enum,pure-culture,metabolomeproteomelipidomeorganic mattermolecular structurechemical speciation mappinggenometranscriptomeisotope profilingimaging- xrayimaging- electronimaging- ionimaging- lighthydraulic propertiesunknown
analysis_type,enum,culture-environmental,metabolomeproteomelipidomeorganic mattermolecular structurechemical speciation mappinggenometranscriptomeisotope profilingimaging- xrayimaging- electronimaging- ionimaging- lighthydraulic propertiesunknown
analysis_type,enum,commercially-purchased,metabolomeproteomelipidomeorganic mattermolecular structurechemical speciation mappinggenometranscriptomeisotope profilingimaging- xrayimaging- electronimaging- ionimaging- lighthydraulic propertiesunknown
analysis_type,enum,mixed-culture,metabolomeproteomelipidomeorganic mattermolecular structurechemical speciation mappinggenometranscriptomeisotope profilingimaging- xrayimaging- electronimaging- ionimaging- lighthydraulic propertiesunknown
analysis_type,enum,sediment,metabolomeproteomelipidomeorganic mattermolecular structurechemical speciation mappinggenometranscriptomeisotope profilingimaging- xrayimaging- electronimaging- ionimaging- lighthydraulic propertiesunknown
analysis_type,enum,terraform,metabolomeproteomelipidomeorganic mattermolecular structurechemical speciation mappinggenometranscriptomeisotope profilingimaging- xrayimaging- electronimaging- ionimaging- lighthydraulic propertiesunknown
analysis_type,enum,synthesized-material,metabolomeproteomelipidomeorganic mattermolecular structurechemical speciation mappinggenometranscriptomeisotope profilingimaging- xrayimaging- electronimaging- ionimaging- lighthydraulic propertiesunknown
analysis_type,enum,plant,metabolomeproteomelipidomeorganic mattermolecular structurechemical speciation mappinggenometranscriptomeisotope profilingimaging- xrayimaging- electronimaging- ionimaging- lighthydraulic propertiesunknown
ances_data,title,other-undescribed,ancestral data
ances_data,title,plant,ancestral data
ances_data,description,other-undescribed,Information about either pedigree or other ancestral information description
ances_data,description,plant,Information about either pedigree or other ancestral information description
ances_data,type,other-undescribed,string
ances_data,type,plant,string
annual_precpt,title,other-undescribed,average annual precipitation
annual_precpt,title,soil,average annual precipitation
annual_precpt,title,aerosol,annual precipitation
annual_precpt,title,aerosol-arm,annual precipitation
annual_precpt,title,sediment,average annual precipitation
annual_precpt,title,monet-soil,average annual precipitation
annual_precpt,title,plant,mean annual precipitation
annual_precpt,description,other-undescribed,The average of all annual precipitation values known or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps. (Unit: mm)
annual_precpt,description,soil,The average of all annual precipitation values known or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps. (Unit: mm)
annual_precpt,description,aerosol,The average of all annual precipitation values known or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps. (Unit: mm)
annual_precpt,description,aerosol-arm,The average of all annual precipitation values known or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps. (Unit: mm)
annual_precpt,description,sediment,The average of all annual precipitation values known or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps. (Unit: mm)
annual_precpt,description,monet-soil,The average of all annual precipitation values known or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps. (Unit: mm)
annual_precpt,description,plant,The average of all annual precipitation values known or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps. (Unit: mm)
annual_precpt,type,other-undescribed,string
annual_precpt,type,soil,string
annual_precpt,type,aerosol,string
annual_precpt,type,aerosol-arm,string
annual_precpt,type,sediment,string
annual_precpt,type,monet-soil,string
annual_precpt,type,plant,string
annual_temp,title,other-undescribed,average annual temperate
annual_temp,title,soil,average annual temperature
annual_temp,title,aerosol,annual temperature
annual_temp,title,aerosol-arm,annual temperature
annual_temp,title,sediment,average annual temperature
annual_temp,title,monet-soil,average annual temperature
annual_temp,title,plant,mean annual temperature
annual_temp,description,other-undescribed,Mean annual temperature (Unit: C)
annual_temp,description,soil,Mean annual temperature (Unit: C)
annual_temp,description,aerosol,Mean annual temperature (Unit: C)
annual_temp,description,aerosol-arm,Mean annual temperature (Unit: C)
annual_temp,description,sediment,Mean annual temperature (Unit: C)
annual_temp,description,monet-soil,Mean annual temperature (Unit: C)
annual_temp,description,plant,Mean annual temperature (Unit: C)
annual_temp,type,other-undescribed,string
annual_temp,type,soil,string
annual_temp,type,aerosol,string
annual_temp,type,aerosol-arm,string
annual_temp,type,sediment,string
annual_temp,type,monet-soil,string
annual_temp,type,plant,string
antibiotic_regm,title,other-undescribed,antibiotic regimen
antibiotic_regm,description,other-undescribed,Information about treatment involving antibiotic administration; should include the name of antibiotic amount administered treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include multiple antibiotic regimens
antibiotic_regm,type,other-undescribed,string
atmospheric_data,title,other-undescribed,atmospheric data
atmospheric_data,title,water,atmospheric data
atmospheric_data,description,other-undescribed,Measurement of atmospheric data; can include multiple data
atmospheric_data,description,water,Measurement of atmospheric data; can include multiple data. Formatted as measurement data and value (example wind speed 9 knots).
atmospheric_data,type,other-undescribed,string
atmospheric_data,type,water,string
bac_prod,title,other-undescribed,bacterial production
bac_prod,title,water,bacterial production
bac_prod,description,other-undescribed,Bacterial production in the water column measured by isotope uptake
bac_prod,description,water,Bacterial production in the water column measured by isotope uptake. Provide value and unit any unit is valid.
bac_prod,type,other-undescribed,string
bac_prod,type,water,string
bac_resp,title,other-undescribed,bacterial respiration
bac_resp,title,water,bacterial respiration
bac_resp,description,other-undescribed,Measurement of bacterial respiration in the water column
bac_resp,description,water,Measurement of bacterial respiration in the water column. Provide value and unit any unit is valid.
bac_resp,type,other-undescribed,string
bac_resp,type,water,string
bacteria_carb_prod,title,other-undescribed,bacterial carbon production
bacteria_carb_prod,title,water,bacterial carbon production
bacteria_carb_prod,title,sediment,bacterial carbon production
bacteria_carb_prod,description,other-undescribed,Measurement of bacterial carbon production
bacteria_carb_prod,description,water,Measurement of bacterial carbon production. Provide value and unit any unit is valid
bacteria_carb_prod,description,sediment,Measurement of bacterial carbon production. Provide value and unit any unit is valid
bacteria_carb_prod,type,other-undescribed,string
bacteria_carb_prod,type,water,string
bacteria_carb_prod,type,sediment,number
biochem_oxygen_dem,title,other-undescribed,biochemical oxygen demand
biochem_oxygen_dem,description,other-undescribed,a measure of the relative oxygen-depletion effect of a waste contaminant
biochem_oxygen_dem,type,other-undescribed,string
biol_stat,title,other-undescribed,biological status
biol_stat,title,plant,biological status
biol_stat,description,other-undescribed,The level of genome modification.
biol_stat,description,plant,The level of genome modification.
biol_stat,type,other-undescribed,string
biol_stat,type,plant,string
biol_stat,enum,plant,wildnaturalsemi-naturalinbred linebreeder's linehybridclonal selectionmutant
biotic_regm,title,field-deployed-terraform,biotic regimen
biotic_regm,title,other-undescribed,biotic regimen
biotic_regm,title,soil,biotic regimen
biotic_regm,title,water,biotic regimen
biotic_regm,title,pure-culture,biotic regimen
biotic_regm,title,culture-environmental,biotic regimen
biotic_regm,title,mixed-culture,biotic regimen
biotic_regm,title,sediment,biotic regimen
biotic_regm,title,terraform,biotic regimen
biotic_regm,title,plant,biotic regimen
biotic_regm,description,field-deployed-terraform,Information about treatment(s) involving use of biotic factors such as bacteria viruses or fungi.
biotic_regm,description,other-undescribed,Information about treatment(s) involving use of biotic factors such as bacteria viruses or fungi.
biotic_regm,description,soil,Information about treatment(s) involving use of biotic factors such as bacteria viruses or fungi.
biotic_regm,description,water,Information about treatment(s) involving use of biotic factors such as bacteria viruses or fungi.
biotic_regm,description,pure-culture,Information about treatment(s) involving use of biotic factors such as bacteria viruses or fungi.
biotic_regm,description,culture-environmental,Information about treatment(s) involving use of biotic factors such as bacteria viruses or fungi.
biotic_regm,description,mixed-culture,Information about treatment(s) involving use of biotic factors such as bacteria viruses or fungi.
biotic_regm,description,sediment,Information about treatment(s) involving use of biotic factors such as bacteria viruses or fungi.
biotic_regm,description,terraform,Information about treatment(s) involving use of biotic factors such as bacteria viruses or fungi.
biotic_regm,description,plant,Information about treatment(s) involving use of biotic factors such as bacteria viruses or fungi.
biotic_regm,type,field-deployed-terraform,string
biotic_regm,type,other-undescribed,string
biotic_regm,type,soil,string
biotic_regm,type,water,string
biotic_regm,type,pure-culture,string
biotic_regm,type,culture-environmental,string
biotic_regm,type,mixed-culture,string
biotic_regm,type,sediment,string
biotic_regm,type,terraform,string
biotic_regm,type,plant,string
bishomohopanol,title,other-undescribed,bishomohopanol
bishomohopanol,title,water,bishomohopanol
bishomohopanol,title,sediment,bishomohopanol concentration
bishomohopanol,description,other-undescribed,Concentration of bishomohopanol
bishomohopanol,description,water,Concentration of bishomohopanol. (Unit: ug/L or ug/g)
bishomohopanol,description,sediment,Concentration of bishomohopanol. (Unit: ug/L or ug/g)
bishomohopanol,type,other-undescribed,string
bishomohopanol,type,water,string
bishomohopanol,type,sediment,number
bromide,title,other-undescribed,bromide
bromide,title,water,bromide
bromide,title,sediment,bromide concentration
bromide,description,other-undescribed,Concentration of bromide
bromide,description,water,Concentration of bromide (Unit: ppm)
bromide,description,sediment,Concentration of bromide (Unit: ppm)
bromide,type,other-undescribed,string
bromide,type,water,string
bromide,type,sediment,string
bulk_elect_conductivity,title,other-undescribed,bulk electrical conductivity
bulk_elect_conductivity,title,soil,bulk electrical conductivity
bulk_elect_conductivity,title,monet-soil,bulk electrical conductivity
bulk_elect_conductivity,description,other-undescribed,Electrical conductivity is a measure of the bulk soil ability to carry electric current which is mostly dictated by the chemistry of and amount of soil water. (Unit: mS/cm)
bulk_elect_conductivity,description,soil,Electrical conductivity is a measure of the ability to carry electric current which is mostly dictated by the chemistry of and amount of water. (Unit: mS/cm)
bulk_elect_conductivity,description,monet-soil,Provide the bulk electrical conductivity readout from the Teros ZSC bluetooth sensor. If measurement was started and unsuccessful enter 'failed' if measurement was not attempted enter 'did not collect'. (Unit: mS/cm)
bulk_elect_conductivity,type,other-undescribed,string
bulk_elect_conductivity,type,soil,string
bulk_elect_conductivity,type,monet-soil,string
calcium,title,other-undescribed,calcium
calcium,title,water,calcium
calcium,title,sediment,calcium concentration
calcium,description,other-undescribed,Concentration of calcium in the sample
calcium,description,water,Concentration of calcium in the sample (Unit: mg/L or umol/L or ppm)
calcium,description,sediment,Concentration of calcium in the sample (Unit: mg/L or umol/L or ppm)
calcium,type,other-undescribed,string
calcium,type,water,string
calcium,type,sediment,string
carb_dioxide,title,other-undescribed,carbon dioxide
carb_dioxide,title,aerosol,carbon dioxide
carb_dioxide,title,aerosol-arm,carbon dioxide
carb_dioxide,description,other-undescribed,Amount of carbon dioxide measured in the air the day of sampling. Provided by ARM
carb_dioxide,description,aerosol,Amount of carbon dioxide measured in the air the day of sampling. (Unit: umol/L or ppm)
carb_dioxide,description,aerosol-arm,Amount of carbon dioxide measured in the air the day of sampling. Provided by ARM. Provide value and unit any unit is valid
carb_dioxide,type,other-undescribed,string
carb_dioxide,type,aerosol,string
carb_dioxide,type,aerosol-arm,string
carb_monoxide,title,other-undescribed,carbon monoxide
carb_monoxide,title,aerosol,carbon monoxide
carb_monoxide,title,aerosol-arm,carbon monoxide
carb_monoxide,description,other-undescribed,Amount of carbon monoxide measured in the air the day of sampling. Provided by ARM
carb_monoxide,description,aerosol,Amount of carbon monoxide measured in the air the day of sampling. (Unit: umol/L or ppm)
carb_monoxide,description,aerosol-arm,Amount of carbon monoxide measured in the air the day of sampling. Provided by ARM. Provide value and unit any unit is valid
carb_monoxide,type,other-undescribed,string
carb_monoxide,type,aerosol,string
carb_monoxide,type,aerosol-arm,string
carb_nitro_ratio,title,other-undescribed,carbon nitrogen ration
carb_nitro_ratio,title,water,carbon nitrogen ratio
carb_nitro_ratio,title,sediment,carbon nitrogen ratio
carb_nitro_ratio,description,other-undescribed,Ratio of amount or concentrations of carbon to nitrogen
carb_nitro_ratio,description,water,Ratio of amount or concentrations of carbon to nitrogen.
carb_nitro_ratio,description,sediment,Ratio of amount or concentrations of carbon to nitrogen.
carb_nitro_ratio,type,other-undescribed,string
carb_nitro_ratio,type,water,string
carb_nitro_ratio,type,sediment,string
cas,title,commercially-purchased,CAS number
cas,title,synthesized-material,CAS number
cas,description,commercially-purchased,A unique numerical identifier assigned by the Chemical Abstract Service (CAS) a division of the American Chemical Society to chemical compounds polymers biological sequences mixtures and alloys.
cas,description,synthesized-material,A unique numerical identifier assigned by the Chemical Abstract Service (CAS) a division of the American Chemical Society to chemical compounds polymers biological sequences mixtures and alloys.
cas,type,commercially-purchased,string
cas,type,synthesized-material,string
cbi,title,engineered-strain,confidential business information
cbi,description,engineered-strain,Indicate if any information about the strain is considered confidential business information
cbi,type,engineered-strain,string
cbi,enum,engineered-strain,yesno
chem_administration,title,field-deployed-terraform,chemical administration
chem_administration,title,other-undescribed,chemical administration
chem_administration,title,soil,chemical administration
chem_administration,title,water,chemical administration
chem_administration,title,aerosol,chemical adminstration
chem_administration,title,aerosol-arm,chemical administration
chem_administration,title,pure-culture,chemical administration
chem_administration,title,culture-environmental,chemical administration
chem_administration,title,mixed-culture,chemical administration
chem_administration,title,sediment,chemical administration
chem_administration,title,terraform,chemical administration
chem_administration,title,monet-soil,chemical administration
chem_administration,title,plant,chemical administration
chem_administration,description,field-deployed-terraform,List of chemical compounds administered to the host or site where sampling occurred and when (e.g. Antibiotics n fertilizer air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163) http://purl.bioontology.org/ontology/chebi
chem_administration,description,other-undescribed,List of chemical compounds administered to the host or site where sampling occurred and when (e.g. Antibiotics n fertilizer air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163) http://purl.bioontology.org/ontology/chebi
chem_administration,description,soil,List of chemical compounds administered to the host or site where sampling occurred and when (e.g. Antibiotics n fertilizer air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163) http://purl.bioontology.org/ontology/chebi
chem_administration,description,water,List of chemical compounds administered to the host or site where sampling occurred and when (e.g. Antibiotics n fertilizer air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163) http://purl.bioontology.org/ontology/chebi
chem_administration,description,aerosol,List of chemical compounds administered to the host or site where sampling occurred and when (e.g. Antibiotics n fertilizer air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163) http://purl.bioontology.org/ontology/chebi
chem_administration,description,aerosol-arm,List of chemical compounds administered to the host or site where sampling occurred and when (e.g. Antibiotics n fertilizer air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163) http://purl.bioontology.org/ontology/chebi
chem_administration,description,pure-culture,List of chemical compounds administered to the host or site where sampling occurred and when (e.g. Antibiotics n fertilizer air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163) http://purl.bioontology.org/ontology/chebi
chem_administration,description,culture-environmental,List of chemical compounds administered to the host or site where sampling occurred and when (e.g. Antibiotics n fertilizer air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163) http://purl.bioontology.org/ontology/chebi
chem_administration,description,mixed-culture,List of chemical compounds administered to the host or site where sampling occurred and when (e.g. Antibiotics n fertilizer air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163) http://purl.bioontology.org/ontology/chebi
