slot,property,value,sample_type_count,sample_types,primary_or_modification
env_medium,description,Report the environmental material immediately surrounding the sample or specimen at the time of sampling. We recommend using subclasses of 'environmental material' (http://purl.obolibrary.org/obo/ENVO_00010483). EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS .,8,"field-deployed-terraform, soil, water, aerosol, aerosol-arm, sediment, monet-soil, plant",primary
env_medium,description,Report the environmental material immediately surrounding the sample or specimen at the time of sampling. We recommend using subclasses of 'environmental material' (http://purl.obolibrary.org/obo/ENVO_00010483). EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS . Terms from other OBO ontologies are permissible as long as they reference mass/volume nouns (e.g. air water blood) and not discrete countable entities (e.g. a tree a leaf a table top).,1,other-undescribed,modification
env_medium,pattern,^_*\s*[a-zA-Z\s\-]+\[ENVO:\d+\]$,1,monet-soil,modification
env_medium,pattern,^_*\s*[a-zA-Z\s]+\[ENVO:\d+\]$,8,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, sediment, plant",primary
env_medium,title,environmental medium,9,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, sediment, monet-soil, plant",primary
env_medium,type,string,9,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, sediment, monet-soil, plant",primary
experimental_factor,description,Experimental factors are essentially the variable aspects of an experiment design which can be used to describe an experiment or set of experiments in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI). For a browser of EFO (v 2.95) terms please see http://purl.bioontology.org/ontology/EFO; for a browser of OBI (v 2018-02-12) terms please see http://purl.bioontology.org/ontology/OBI,12,"other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, commercially-purchased, mixed-culture, sediment, synthesized-material, plant",primary
experimental_factor,title,experimental factor,12,"other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, commercially-purchased, mixed-culture, sediment, synthesized-material, plant",primary
experimental_factor,type,string,12,"other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, commercially-purchased, mixed-culture, sediment, synthesized-material, plant",primary
experimental_factor_other,description,Other details about your sample that you feel can't be accurately represented in the available columns.,12,"other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, commercially-purchased, mixed-culture, sediment, synthesized-material, plant",primary
experimental_factor_other,title,experimental factor other,12,"other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, commercially-purchased, mixed-culture, sediment, synthesized-material, plant",primary
experimental_factor_other,type,string,12,"other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, commercially-purchased, mixed-culture, sediment, synthesized-material, plant",primary
extraction_method,description,"If you the user performed an extraction preparation or processing before sending the sample to EMSL what was it? This is only applicable when sending an ""analytical sample"". See README for more details on types of samples.",2,"other-undescribed, mixed-culture",modification
extraction_method,description,If you the user performed an extraction preparation or processing before sending the sample to EMSL what was it? This is only applicable when sending an 'analytical sample'. See README for more details on types of samples.,8,"soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, sediment, plant",primary
extraction_method,title,extraction method,10,"other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, mixed-culture, sediment, plant",primary
extraction_method,type,string,10,"other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, mixed-culture, sediment, plant",primary
extreme_event,description,Unusual physical events that may have affected microbial populations,1,other-undescribed,modification
extreme_event,description,Unusual physical events that may have affected microbial populations. Format: YYYY-MM-DD,3,"soil, sediment, monet-soil",primary
extreme_event,pattern,^[12]\d{3}(?:(?:-(?:0[1-9]|1[0-2]))(?:-(?:0[1-9]|[12]\d|3[01]))?)?$,3,"soil, sediment, monet-soil",primary
extreme_event,title,extreme event,4,"other-undescribed, soil, sediment, monet-soil",primary
extreme_event,type,string,4,"other-undescribed, soil, sediment, monet-soil",primary
fao_class,description,Soil classification from the FAO World Reference Database for Soil Resources. The list can be found at https://www.isric.org/explore/world-soil-distribution,1,monet-soil,modification
fao_class,description,Soil classification from the FAO World soil distribution from International Soil Reference and Information Centre (ISRIC). The list of available soil classifications can be found at https://www.isric.org/explore/world-soil-distribution,1,soil,primary
fao_class,enum,Acrisols|Alisols|Andosols|Anthrosols|Arenosols|Calcisols|Cambisols|Chernozems|Cryosols|Durisols|Ferralsols|Fluvisols|Gleysols|Gypsisols|Histosols|Kastanozems|Leptosols|Lixisols|Luvisols|Nitisols|Phaeozems|Planosols|Plinthosols|Podzols|Solonchaks|Solonetz|Stagnosols|Technosols|Umbrisols|Vertisols,2,"soil, monet-soil",primary
fao_class,title,FAO soil taxonomy classification,1,monet-soil,primary
fao_class,title,fao class,1,soil,modification
fao_class,type,string,2,"soil, monet-soil",primary
fertilizer_regm,description,Information about treatment involving the use of fertilizers; should include the name of fertilizer amount administered treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include multiple fertilizer regimens,2,"other-undescribed, plant",primary
fertilizer_regm,title,fertilizer regimen,2,"other-undescribed, plant",primary
fertilizer_regm,type,string,2,"other-undescribed, plant",primary
filter_method,description,Type of filter used or how the sample was filteres,5,"other-undescribed, soil, water, pure-culture, culture-environmental",primary
filter_method,title,filter method,5,"other-undescribed, soil, water, pure-culture, culture-environmental",primary
filter_method,type,string,5,"other-undescribed, soil, water, pure-culture, culture-environmental",primary
fire,description,Historical and/or physical evidence of fire,1,other-undescribed,modification
fire,description,Historical and/or physical evidence of fire. Format: YYYY-MM-DD,3,"soil, sediment, monet-soil",primary
fire,pattern,^[12]\d{3}(?:(?:-(?:0[1-9]|1[0-2]))(?:-(?:0[1-9]|[12]\d|3[01]))?)?$,3,"soil, sediment, monet-soil",primary
fire,title,fire,4,"other-undescribed, soil, sediment, monet-soil",primary
fire,type,string,4,"other-undescribed, soil, sediment, monet-soil",primary
first_blh,description,First boundary layer height candidate (meters) (Unit: m),1,aerosol-arm,primary
first_blh,title,first boundary layer height,1,aerosol-arm,primary
first_blh,type,number,1,aerosol-arm,primary
first_blh_quality_index,description,Quality index for first boundary layer height candidate (-999 if no candidate),1,aerosol-arm,primary
first_blh_quality_index,title,first boundary layer height quality,1,aerosol-arm,primary
first_blh_quality_index,type,string,1,aerosol-arm,primary
first_cbh,description,First cloud base (meters) or vertical visibility (meters) (-999 if no cloud base or vertical visibility) (Unit: m),1,aerosol-arm,primary
first_cbh,title,first cloud base height,1,aerosol-arm,primary
first_cbh,type,number,1,aerosol-arm,primary
flooding,description,Historical and/or physical evidence of flooding,1,other-undescribed,modification
flooding,description,Historical and/or physical evidence of flooding. Format: YYYY-MM-DD,3,"soil, sediment, monet-soil",primary
flooding,pattern,^[12]\d{3}(?:(?:-(?:0[1-9]|1[0-2]))(?:-(?:0[1-9]|[12]\d|3[01]))?)?$,3,"soil, sediment, monet-soil",primary
flooding,title,flooding,4,"other-undescribed, soil, sediment, monet-soil",primary
flooding,type,string,4,"other-undescribed, soil, sediment, monet-soil",primary
fluor,description,Raw or converted fluorescence of water,1,other-undescribed,primary
fluor,description,Raw or converted fluorescence of water. Provide value and unit any unit is valid.,1,water,modification
fluor,pattern,^\d+(\.\d+)?\s*[\w\s/]+$,1,water,modification
fluor,title,fluorescence,2,"other-undescribed, water",primary
fluor,type,string,2,"other-undescribed, water",primary
fungicide_regm,description,Information about treatment involving use of fungicides; should include the name of fungicide amount administered treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include multiple fungicide regimens,2,"other-undescribed, plant",primary
fungicide_regm,title,fungicide regimen,2,"other-undescribed, plant",primary
fungicide_regm,type,string,2,"other-undescribed, plant",primary
gaseous_environment,description,Use of conditions with differing gaseous environments; should include the name of gaseous compound amount administered treatment duration interval and total experimental duration; can include multiple gaseous environment regimens,10,"field-deployed-terraform, other-undescribed, soil, water, pure-culture, culture-environmental, mixed-culture, sediment, terraform, plant",primary
gaseous_environment,title,gaseous environment,10,"field-deployed-terraform, other-undescribed, soil, water, pure-culture, culture-environmental, mixed-culture, sediment, terraform, plant",primary
gaseous_environment,type,string,10,"field-deployed-terraform, other-undescribed, soil, water, pure-culture, culture-environmental, mixed-culture, sediment, terraform, plant",primary
gaseous_substances,description,amount or concentration of substances such as hydrogen sulfide carbon dioxide methane etc.; can include multiple substances,1,other-undescribed,primary
gaseous_substances,title,gaseous substances,1,other-undescribed,primary
gaseous_substances,type,string,1,other-undescribed,primary
genetic_mod,description,Genetic modifications of the genome of an organism which may occur naturally by spontaneous mutation or be introduced by some experimental means e.g. specification of a transgene or the gene knocked-out or details of transient transfection,8,"field-deployed-terraform, other-undescribed, pure-culture, culture-environmental, mixed-culture, terraform, synthesized-material, plant",primary
genetic_mod,title,genetic modification,6,"field-deployed-terraform, pure-culture, culture-environmental, mixed-culture, synthesized-material, plant",primary
genetic_mod,title,genetic modifications,2,"terraform, other-undescribed",modification
genetic_mod,type,string,8,"field-deployed-terraform, other-undescribed, pure-culture, culture-environmental, mixed-culture, terraform, synthesized-material, plant",primary
genotype_segment_category,description,Select the genotype category. A genotype is generally an expression cassett or a grouping of genetic elements or a gene edit containing a set of construct components leading to one or more intended traits. A strain may consist of multiple genotypes.,1,engineered-strain,primary
genotype_segment_category,enum,Empty Transformation Vector|Gene Knock-Out|Gene Silencer|Gene(s) of Interest|RNA Interface (RNAi)|Screenable Marker|Selectable Marker|Virus Genome|Wild Type|Recombination Site|Other,1,engineered-strain,primary
genotype_segment_category,title,genotype segment category,1,engineered-strain,primary
genotype_segment_category,type,string,1,engineered-strain,primary
genotype_segment_name,description,Provide a name that describes the genotype modification engineered relative to the reference unmodified genome. The name should describe the spatially grouped components or specific function of the modification.,1,engineered-strain,primary
genotype_segment_name,title,genotype segment name,1,engineered-strain,primary
genotype_segment_name,type,string,1,engineered-strain,primary
geo_loc_name,description,The geographical origin of the sample as defined by the country or sea name followed by specific region name and site. Formatted as [Country or sea names: region or state site],9,"field-deployed-terraform, soil, water, aerosol, aerosol-arm, culture-environmental, sediment, monet-soil, plant",primary
geo_loc_name,description,The geographical origin of the sample as defined by the country or sea name followed by specific region name. Provide the location of where the sample originated.,1,other-undescribed,modification
geo_loc_name,pattern,^([^\s-]{12}|[^\s-]+.+[^\s-]+):\s?([^\s-]{12}|[^\s-]+.+[^\s-]+)\s?([^\s-]{12}|[^\s-]+.+[^\s-]+)$,10,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, culture-environmental, sediment, monet-soil, plant",primary
geo_loc_name,title,geographic location name,10,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, culture-environmental, sediment, monet-soil, plant",primary
geo_loc_name,type,string,10,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, culture-environmental, sediment, monet-soil, plant",primary
glucosidase_act,description,Measurement of glucosidase activity,1,other-undescribed,modification
glucosidase_act,description,Measurement of glucosidase activity (Unit: mol/L/h),2,"water, sediment",primary
glucosidase_act,pattern,^\d+(\.\d+)?\s*mol/L/h$,2,"water, sediment",primary
glucosidase_act,title,glucosidase activity,3,"other-undescribed, water, sediment",primary
glucosidase_act,type,string,3,"other-undescribed, water, sediment",primary
gravity,description,Information about treatment involving use of gravity factor to study various types of responses in presence absence or modified levels of gravity; treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include multiple treatments,2,"other-undescribed, plant",primary
gravity,title,gravity,2,"other-undescribed, plant",primary
gravity,type,string,2,"other-undescribed, plant",primary
growth_facil,description,Type of facility or location from where the sample was collected or grown. This field is NOT multivalued. If selecting other add the `other_growth_facil` attribute to provide additional detail.,13,"field-deployed-terraform, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, commercially-purchased, sediment, terraform, synthesized-material, monet-soil, plant",primary
growth_facil,description,Type of facility where the sample was collected or grown,2,"other-undescribed, mixed-culture",modification
growth_facil,enum,field|commercially purchased|experimental garden|field incubation|greenhouse|growth chamber|lab incubation|open top chamber|other,14,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, commercially-purchased, sediment, terraform, synthesized-material, monet-soil, plant",primary
growth_facil,title,growth facility,15,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, commercially-purchased, mixed-culture, sediment, terraform, synthesized-material, monet-soil, plant",primary
growth_facil,type,string,15,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, commercially-purchased, mixed-culture, sediment, terraform, synthesized-material, monet-soil, plant",primary
growth_habit,description,Characteristic shape appearance or growth form of a plant species,2,"other-undescribed, plant",primary
growth_habit,enum,erect|semi-erect|spreading|prostrate,1,"plant, other-undescribed",primary
growth_habit,title,growth habit,2,"plant, other-undescribed",primary
growth_habit,type,string,2,"other-undescribed, plant",primary
growth_hormone_regm,description,Information about treatment involving use of growth hormones; should include the name of growth hormone amount administered treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include multiple growth hormone regimens,2,"other-undescribed, plant",primary
growth_hormone_regm,title,growth hormone regimen,2,"other-undescribed, plant",primary
growth_hormone_regm,type,string,2,"other-undescribed, plant",primary
growth_medium,description,Method of growth and medium/materials used. Indicate broth gel 3-D structure bioreactor etc followed by the formula recipe or components used to create the growth medium.,6,"field-deployed-terraform, other-undescribed, pure-culture, culture-environmental, mixed-culture, terraform",primary
growth_medium,title,growth medium,6,"field-deployed-terraform, other-undescribed, pure-culture, culture-environmental, mixed-culture, terraform",primary
growth_medium,type,string,6,"field-deployed-terraform, other-undescribed, pure-culture, culture-environmental, mixed-culture, terraform",primary
heavy_metals,description,Heavy metals present and concentrationsany drug used by subject and the frequency of usage; can include multiple heavy metals and concentrations,1,other-undescribed,primary
heavy_metals,description,Heavy metals present in the sample and the concentration of the metal. For multiple heavy metals and concentrations separate them by `|`. (Example: mercury0.09 micrograms per gram|lead0.05 micrograms per gram,1,soil,modification
heavy_metals,title,heavy metals,2,"other-undescribed, soil",primary
heavy_metals,type,string,2,"other-undescribed, soil",primary
heavy_metals_meth,description,Reference or method used in determining heavy metals,2,"other-undescribed, soil",primary
heavy_metals_meth,title,heavy metals method,2,"other-undescribed, soil",primary
heavy_metals_meth,type,string,2,"other-undescribed, soil",primary
herbicide_regm,description,Information about treatment involving use of herbicides; information about treatment involving use of growth hormones; should include the name of herbicide amount administered treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include multiple regimens,2,"other-undescribed, plant",primary
herbicide_regm,title,herbicide regimen,2,"other-undescribed, plant",primary
herbicide_regm,type,string,2,"other-undescribed, plant",primary
horizon_meth,description,Reference or method used in determining the horizon,1,soil,primary
horizon_meth,title,soil horizon method,1,soil,primary
horizon_meth,type,string,1,soil,primary
host_age,description,Age of host at the time of sampling; relevant scale depends on species and study e.g. Could be seconds for amoebae or centuries for trees,1,other-undescribed,modification
host_age,description,Age of host at the time of sampling; relevant scale depends on species and study e.g. Could be seconds for amoebae or centuries for trees. (Unit: a (year) or d (day) or h (hour). Do not include the additional information in ().),2,"field-deployed-terraform, terraform",primary
host_age,pattern,^\d+(\.\d+)?\s*(a|d|h)$,2,"field-deployed-terraform, terraform",primary
host_age,title,host age,3,"field-deployed-terraform, other-undescribed, terraform",primary
host_age,type,string,3,"field-deployed-terraform, other-undescribed, terraform",primary
host_common_name,description,Common name of the host,5,"field-deployed-terraform, pure-culture, culture-environmental, mixed-culture, terraform",primary
host_common_name,description,Common name of the host e.g. Human,1,other-undescribed,modification
host_common_name,title,host common name,6,"field-deployed-terraform, other-undescribed, pure-culture, culture-environmental, mixed-culture, terraform",primary
host_common_name,type,string,6,"field-deployed-terraform, other-undescribed, pure-culture, culture-environmental, mixed-culture, terraform",primary
host_disease_stat,description,List of diseases with which the host has been diagnosed; can include multiple diagnoses. The value of the field depends on host; for humans the terms should be chosen from the DO (Human Disease Ontology) at https://www.disease-ontology.org non-human host diseases are free text,1,other-undescribed,primary
host_disease_stat,title,host disease status,1,other-undescribed,primary
host_disease_stat,type,string,1,other-undescribed,primary
host_dry_mass,description,Measurement of dry mass,1,other-undescribed,modification
host_dry_mass,description,Measurement of dry mass. (Unit: kg or g),2,"field-deployed-terraform, terraform",primary
host_dry_mass,pattern,^\d+(\.\d+)?\s*(kg|g)$,2,"field-deployed-terraform, terraform",primary
host_dry_mass,title,host dry mass,3,"field-deployed-terraform, other-undescribed, terraform",primary
host_dry_mass,type,string,3,"field-deployed-terraform, other-undescribed, terraform",primary
host_genotype,description,Observed genotype,2,"field-deployed-terraform, terraform",primary
host_genotype,title,host genotype,2,"field-deployed-terraform, terraform",primary
host_genotype,type,string,2,"field-deployed-terraform, terraform",primary
host_height,description,The height of plant. (Unit: cm or mm or m),1,plant,modification
host_height,description,The height of subject,1,other-undescribed,modification
host_height,description,The height of subject. (Unit: cm or mm or m),2,"field-deployed-terraform, terraform",primary
host_height,pattern,^\d+(\.\d+)?\s*(cm|mm|m)$,3,"field-deployed-terraform, terraform, plant",primary
host_height,title,host height,4,"field-deployed-terraform, other-undescribed, terraform, plant",primary
host_height,type,string,4,"field-deployed-terraform, other-undescribed, terraform, plant",primary
host_infra_spec_name,description,Taxonomic information about the host below subspecies level,1,other-undescribed,primary
host_infra_spec_name,title,host infra-specific name,1,other-undescribed,primary
host_infra_spec_name,type,string,1,other-undescribed,primary
host_infra_spec_rank,description,Taxonomic rank information about the host below subspecies level such as variety form rank etc.,1,other-undescribed,primary
host_infra_spec_rank,title,host infra-specific rank,1,other-undescribed,primary
host_infra_spec_rank,type,string,1,other-undescribed,primary
host_length,description,The length of subject,1,other-undescribed,primary
host_length,description,The length of the plant. (Unit: cm or mm or m),1,plant,modification
host_length,pattern,^\d+(\.\d+)?\s*(cm|mm|m)$,1,plant,modification
host_length,title,host length,2,"other-undescribed, plant",primary
host_length,type,string,2,"other-undescribed, plant",primary
host_life_stage,description,Description of life stage of host,3,"field-deployed-terraform, other-undescribed, terraform",primary
host_life_stage,description,Description of life stage of the plant,1,plant,modification
host_life_stage,title,host life stage,4,"field-deployed-terraform, other-undescribed, terraform, plant",primary
host_life_stage,type,string,4,"field-deployed-terraform, other-undescribed, terraform, plant",primary
host_phenotype,description,Phenotype of human or other host. For phenotypic quality ontology (pato) (v 2018-03-27) terms please see http://purl.bioontology.org/ontology/pato. For Human Phenotype Ontology (HP) (v 2018-06-13) please see http://purl.bioontology.org/ontology/HP,1,other-undescribed,primary
host_phenotype,title,host phenotype,1,other-undescribed,primary
host_phenotype,type,string,1,other-undescribed,primary
host_spec_range,description,The NCBI taxonomy identifier of the specific host if it is known,1,other-undescribed,modification
host_spec_range,description,The range and diversity of host species that an organism is capable of infecting defined by NCBI taxonomy identifier. Format with prefix NCBITaxon:####,5,"field-deployed-terraform, pure-culture, culture-environmental, mixed-culture, terraform",primary
host_spec_range,pattern,NCBITaxon:\d+,5,"field-deployed-terraform, pure-culture, culture-environmental, mixed-culture, terraform",primary
host_spec_range,title,host specificity or range,6,"field-deployed-terraform, other-undescribed, pure-culture, culture-environmental, mixed-culture, terraform",primary
host_spec_range,type,integer,1,other-undescribed,modification
host_spec_range,type,string,5,"field-deployed-terraform, pure-culture, culture-environmental, mixed-culture, terraform",primary
host_symbiont,description,The taxonomic name of the organism(s) found living in mutualistic commensalistic or parasitic symbiosis with the specific host.,1,other-undescribed,primary
host_symbiont,title,host symbiont,1,other-undescribed,primary
host_symbiont,type,string,1,other-undescribed,primary
host_taxid,description,NCBI taxa ID,1,other-undescribed,modification
host_taxid,description,NCBI taxa ID. Format with prefix NCBITaxon:####,5,"field-deployed-terraform, pure-culture, culture-environmental, mixed-culture, terraform",primary
host_taxid,pattern,NCBITaxon:\d+,5,"field-deployed-terraform, pure-culture, culture-environmental, mixed-culture, terraform",primary
host_taxid,title,host taxonomy identifier,6,"field-deployed-terraform, other-undescribed, pure-culture, culture-environmental, mixed-culture, terraform",primary
host_taxid,type,string,6,"field-deployed-terraform, other-undescribed, pure-culture, culture-environmental, mixed-culture, terraform",primary
host_tot_mass,description,Total mass of the host at collection the unit depends on host,1,other-undescribed,modification
host_tot_mass,description,Total mass of the host at collection. (Unit: kg or g),2,"field-deployed-terraform, terraform",primary
host_tot_mass,pattern,^\d+(\.\d+)?\s*(kg|g)$,2,"field-deployed-terraform, terraform",primary
host_tot_mass,title,host total mass,3,"field-deployed-terraform, other-undescribed, terraform",primary
host_tot_mass,type,string,3,"field-deployed-terraform, other-undescribed, terraform",primary
host_wet_mass,description,Measurement of wet mass,1,other-undescribed,modification
host_wet_mass,description,Measurement of wet mass. (Unit: kg or g),2,"field-deployed-terraform, terraform",primary
host_wet_mass,pattern,^\d+(\.\d+)?\s*(kg|g)$,2,"field-deployed-terraform, terraform",primary
host_wet_mass,title,host wet mass,3,"field-deployed-terraform, other-undescribed, terraform",primary
host_wet_mass,type,string,3,"field-deployed-terraform, other-undescribed, terraform",primary
humidity,description,Amount of humidity measured in the air the day of sampling. Provide value and unit any unit is valid,1,aerosol,primary
humidity,description,Amount of humidity measured in the air the day of sampling. Provided by iMet,1,other-undescribed,modification
humidity,description,Amount of humidity measured in the air the day of sampling. Provided by iMet. Provide value and unit any unit is valid,1,aerosol-arm,modification
humidity,pattern,^\d+(\.\d+)?\s*[\w\s/]+$,2,"aerosol, aerosol-arm",modification
humidity,title,humidity,3,"other-undescribed, aerosol, aerosol-arm",primary
humidity,type,string,3,"other-undescribed, aerosol, aerosol-arm",primary
humidity_regm,description,Information about treatment involving an exposure to varying degree of humidity; information about treatment involving use of growth hormones; should include amount of humidity administered treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include multiple regimens,11,"field-deployed-terraform, other-undescribed, soil, aerosol, aerosol-arm, pure-culture, culture-environmental, mixed-culture, sediment, terraform, plant",primary
humidity_regm,title,humidity regimen,11,"field-deployed-terraform, other-undescribed, soil, aerosol, aerosol-arm, pure-culture, culture-environmental, mixed-culture, sediment, terraform, plant",primary
humidity_regm,type,string,11,"field-deployed-terraform, other-undescribed, soil, aerosol, aerosol-arm, pure-culture, culture-environmental, mixed-culture, sediment, terraform, plant",primary
indust_eff_percent,description,percentage of industrial effluents received by wastewater treatment plant,1,other-undescribed,primary
indust_eff_percent,title,industrial effluent percent,1,other-undescribed,primary
indust_eff_percent,type,string,1,other-undescribed,primary
infiltration_1,description,Amount of time it takes to accomplish the first infiltration activity. If infiltration time was started and unsuccessful enter 'failed' if infiltration time was not attempted enter 'did not collect'. Units and format of mm:ss required. (Example: 15:20 mm:ss),2,"soil, monet-soil",primary
infiltration_1,pattern,^((0[0-9]|[1-5][0-9]):([0-5][0-9])\smm:ss|did not collect|failed),1,monet-soil,modification
infiltration_1,pattern,^((0[0-9]|[1-5][0-9]):([0-5][0-9])\smm:ss|did not collect|failed)$,1,soil,primary
infiltration_1,title,first infiltration time,2,"soil, monet-soil",primary
infiltration_1,type,string,2,"soil, monet-soil",primary
infiltration_2,description,Amount of time it takes to accomplish the second infiltration activity. If infiltration time was started and unsuccessful enter 'failed' if infiltration time was not attempted enter 'did not collect'. Units and format of mm:ss required. (Example: 15:20 mm:ss),2,"soil, monet-soil",primary
infiltration_2,pattern,^((0[0-9]|[1-5][0-9]):([0-5][0-9])\smm:ss|did not collect|failed),2,"soil, monet-soil",primary
infiltration_2,title,second infiltration time,2,"soil, monet-soil",primary
infiltration_2,type,string,2,"soil, monet-soil",primary
infiltration_notes,description,Provide any details issues or context needed to understand the infiltration activity,2,"soil, monet-soil",primary
infiltration_notes,title,infiltration notes,2,"soil, monet-soil",primary
infiltration_notes,type,string,2,"soil, monet-soil",primary
initiation_date_inoculation,description,The date the sample was inoculated. This can be the date of inoculation isolation etc. If providing a sequential initiation the sample should be linked to the sample it originated from. Formatted as YYYY-MM-DD,2,"field-deployed-terraform, terraform",primary
initiation_date_inoculation,pattern,^[12]\d{3}(?:(?:-(?:0[1-9]|1[0-2]))(?:-(?:0[1-9]|[12]\d|3[01]))?)?$,2,"field-deployed-terraform, terraform",primary
initiation_date_inoculation,title,initiation date of inoculation,2,"field-deployed-terraform, terraform",primary
initiation_date_inoculation,type,string,2,"field-deployed-terraform, terraform",primary
initiation_date_plant,description,The date the plant part of the sample was initiated. This can be the date of germination or propagation. If providing a sequential initiation (propagation) the sample should be linked to the sample it originated from. Formatted as YYYY-MM-DD,2,"field-deployed-terraform, terraform",primary
initiation_date_plant,pattern,^[12]\d{3}(?:(?:-(?:0[1-9]|1[0-2]))(?:-(?:0[1-9]|[12]\d|3[01]))?)?$,2,"field-deployed-terraform, terraform",primary
initiation_date_plant,title,initiation date of plant,2,"field-deployed-terraform, terraform",primary
initiation_date_plant,type,string,2,"field-deployed-terraform, terraform",primary
inorg_particles,description,concentration of particles such as sand grit metal particles ceramics etc.; can include multiple particles,1,other-undescribed,primary
inorg_particles,title,inorganic particles,1,other-undescribed,primary
inorg_particles,type,string,1,other-undescribed,primary
isol_growth_condt,description,Publication reference in the form of pubmed ID (pmid) digital object identifier (doi) or url for isolation and growth condition specifications of the organism/material,6,"field-deployed-terraform, other-undescribed, pure-culture, culture-environmental, mixed-culture, terraform",primary
isol_growth_condt,title,isolation and growth condition,3,"field-deployed-terraform, pure-culture, mixed-culture",primary
isol_growth_condt,title,isolation and growth conditions,3,"other-undescribed, culture-environmental, terraform",modification
isol_growth_condt,type,string,6,"field-deployed-terraform, other-undescribed, pure-culture, culture-environmental, mixed-culture, terraform",primary
isotope_exposure,description,List isotope exposure or addition applied to your sample.,12,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, mixed-culture, sediment, terraform, plant",primary
isotope_exposure,title,isotope exposure,12,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, mixed-culture, sediment, terraform, plant",primary
isotope_exposure,type,string,12,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, mixed-culture, sediment, terraform, plant",primary
item_number,description,The item number of the purchased material,3,"other-undescribed, commercially-purchased, synthesized-material",primary
item_number,title,item number,3,"other-undescribed, commercially-purchased, synthesized-material",primary
item_number,type,string,3,"other-undescribed, commercially-purchased, synthesized-material",primary
lat_lon,description,The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system.,1,other-undescribed,modification
lat_lon,description,The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal format. Required format is decimal format with a comma separating the latitude longitude.,9,"field-deployed-terraform, soil, water, aerosol, aerosol-arm, culture-environmental, sediment, monet-soil, plant",primary
lat_lon,pattern,^[-+]?([1-8]?\d(\.\d+)?|90(\.0+)?)\s*[-+]?(180(\.0+)?|((1[0-7]\d)|([1-9]?\d))(\.\d+)?)$,10,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, culture-environmental, sediment, monet-soil, plant",primary
lat_lon,title,latitude longitude,10,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, culture-environmental, sediment, monet-soil, plant",primary
lat_lon,type,string,10,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, culture-environmental, sediment, monet-soil, plant",primary
light_intensity,description,Measurement of light intensity,1,other-undescribed,primary
light_intensity,description,Measurement of light intensity. Provide value and unit any unit is valid.,1,water,modification
light_intensity,pattern,^\d+(\.\d+)?\s*[\w\s/]+$,1,water,modification
light_intensity,title,light intensity,2,"other-undescribed, water",primary
light_intensity,type,string,2,"other-undescribed, water",primary
