slot,property,value,sample_type_count,sample_types,primary_or_modification
analysis_type,enum,metabolome|proteome|lipidome|organic matter|molecular structure|chemical speciation mapping|genome|transcriptome|isotope profiling|imaging- xray|imaging- electron|imaging- ion|imaging- light|hydraulic properties|unknown,14,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, commercially-purchased, mixed-culture, sediment, terraform, synthesized-material, plant",primary
analysis_type,title,analysis type,14,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, commercially-purchased, mixed-culture, sediment, terraform, synthesized-material, plant",primary
analysis_type,type,string,14,"field-deployed-terraform, other-undescribed, soil, water, aerosol, aerosol-arm, pure-culture, culture-environmental, commercially-purchased, mixed-culture, sediment, terraform, synthesized-material, plant",primary
ances_data,description,Information about either pedigree or other ancestral information description,2,"other-undescribed, plant",primary
ances_data,title,ancestral data,2,"other-undescribed, plant",primary
ances_data,type,string,2,"other-undescribed, plant",primary
annual_precpt,description,The average of all annual precipitation values known or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps. (Unit: mm),7,"other-undescribed, soil, aerosol, aerosol-arm, sediment, monet-soil, plant",primary
annual_precpt,pattern,^\d+(\.\d+)?\s*mm$,7,"other-undescribed, soil, aerosol, aerosol-arm, sediment, monet-soil, plant",primary
annual_precpt,title,annual precipitation,2,"aerosol, aerosol-arm",modification
annual_precpt,title,average annual precipitation,4,"other-undescribed, soil, sediment, monet-soil",primary
annual_precpt,title,mean annual precipitation,1,plant,modification
annual_precpt,type,string,7,"other-undescribed, soil, aerosol, aerosol-arm, sediment, monet-soil, plant",primary
annual_temp,description,Mean annual temperature (Unit: C),7,"other-undescribed, soil, aerosol, aerosol-arm, sediment, monet-soil, plant",primary
annual_temp,pattern,^-?\d+(\.\d+)?\s*C$,7,"other-undescribed, soil, aerosol, aerosol-arm, sediment, monet-soil, plant",primary
annual_temp,title,annual temperature,2,"aerosol, aerosol-arm",modification
annual_temp,title,average annual temperate,1,other-undescribed,modification
annual_temp,title,average annual temperature,3,"soil, sediment, monet-soil",primary
annual_temp,title,mean annual temperature,1,plant,modification
annual_temp,type,string,7,"other-undescribed, soil, aerosol, aerosol-arm, sediment, monet-soil, plant",primary
antibiotic_regm,description,Information about treatment involving antibiotic administration; should include the name of antibiotic amount administered treatment regimen including how many times the treatment was repeated how long each treatment lasted and the start and end time of the entire treatment; can include multiple antibiotic regimens,1,other-undescribed,primary
antibiotic_regm,title,antibiotic regimen,1,other-undescribed,primary
antibiotic_regm,type,string,1,other-undescribed,primary
atmospheric_data,description,Measurement of atmospheric data; can include multiple data,1,other-undescribed,primary
atmospheric_data,description,Measurement of atmospheric data; can include multiple data. Formatted as measurement data and value (example wind speed 9 knots).,1,water,modification
atmospheric_data,title,atmospheric data,2,"other-undescribed, water",primary
atmospheric_data,type,string,2,"other-undescribed, water",primary
bac_prod,description,Bacterial production in the water column measured by isotope uptake,1,other-undescribed,primary
bac_prod,description,Bacterial production in the water column measured by isotope uptake. Provide value and unit any unit is valid.,1,water,modification
bac_prod,pattern,^\d+(\.\d+)?\s*[\w\s/]+$,1,water,modification
bac_prod,title,bacterial production,2,"other-undescribed, water",primary
bac_prod,type,string,2,"other-undescribed, water",primary
bac_resp,description,Measurement of bacterial respiration in the water column,1,other-undescribed,primary
bac_resp,description,Measurement of bacterial respiration in the water column. Provide value and unit any unit is valid.,1,water,modification
bac_resp,pattern,^\d+(\.\d+)?\s*[\w\s/]+$,1,water,modification
bac_resp,title,bacterial respiration,2,"other-undescribed, water",primary
bac_resp,type,string,2,"other-undescribed, water",primary
bacteria_carb_prod,description,Measurement of bacterial carbon production,1,other-undescribed,modification
bacteria_carb_prod,description,Measurement of bacterial carbon production. Provide value and unit any unit is valid,2,"water, sediment",primary
bacteria_carb_prod,pattern,^\d+(\.\d+)?\s*[\w\s/]+$,2,"water, sediment",primary
bacteria_carb_prod,title,bacterial carbon production,3,"other-undescribed, water, sediment",primary
bacteria_carb_prod,type,number,1,sediment,modification
bacteria_carb_prod,type,string,2,"other-undescribed, water",primary
biochem_oxygen_dem,description,a measure of the relative oxygen-depletion effect of a waste contaminant,1,other-undescribed,primary
biochem_oxygen_dem,title,biochemical oxygen demand,1,other-undescribed,primary
biochem_oxygen_dem,type,string,1,other-undescribed,primary
biol_stat,description,The level of genome modification.,2,"other-undescribed, plant",primary
biol_stat,enum,wild|natural|semi-natural|inbred line|breeder's line|hybrid|clonal selection|mutant,1,plant,primary
biol_stat,title,biological status,2,"other-undescribed, plant",primary
biol_stat,type,string,2,"other-undescribed, plant",primary
biotic_regm,description,Information about treatment(s) involving use of biotic factors such as bacteria viruses or fungi.,10,"field-deployed-terraform, other-undescribed, soil, water, pure-culture, culture-environmental, mixed-culture, sediment, terraform, plant",primary
biotic_regm,title,biotic regimen,10,"field-deployed-terraform, other-undescribed, soil, water, pure-culture, culture-environmental, mixed-culture, sediment, terraform, plant",primary
biotic_regm,type,string,10,"field-deployed-terraform, other-undescribed, soil, water, pure-culture, culture-environmental, mixed-culture, sediment, terraform, plant",primary
bishomohopanol,description,Concentration of bishomohopanol,1,other-undescribed,modification
bishomohopanol,description,Concentration of bishomohopanol. (Unit: ug/L or ug/g),2,"water, sediment",primary
bishomohopanol,pattern,^\d+(\.\d+)?\s*(ug/L|ug/g)$,2,"water, sediment",primary
bishomohopanol,title,bishomohopanol,2,"other-undescribed, water",primary
bishomohopanol,title,bishomohopanol concentration,1,sediment,modification
bishomohopanol,type,number,1,sediment,modification
bishomohopanol,type,string,2,"other-undescribed, water",primary
bromide,description,Concentration of bromide,1,other-undescribed,modification
bromide,description,Concentration of bromide (Unit: ppm),2,"water, sediment",primary
bromide,pattern,^\d+(\.\d+)?\s*ppm$,2,"water, sediment",primary
bromide,title,bromide,2,"other-undescribed, water",primary
bromide,title,bromide concentration,1,sediment,modification
bromide,type,string,3,"other-undescribed, water, sediment",primary
bulk_elect_conductivity,description,Electrical conductivity is a measure of the ability to carry electric current which is mostly dictated by the chemistry of and amount of water. (Unit: mS/cm),1,soil,modification
bulk_elect_conductivity,description,Electrical conductivity is a measure of the bulk soil ability to carry electric current which is mostly dictated by the chemistry of and amount of soil water. (Unit: mS/cm),1,other-undescribed,primary
bulk_elect_conductivity,description,Provide the bulk electrical conductivity readout from the Teros ZSC bluetooth sensor. If measurement was started and unsuccessful enter 'failed' if measurement was not attempted enter 'did not collect'. (Unit: mS/cm),1,monet-soil,modification
bulk_elect_conductivity,pattern,^\d+(\.\d+)?\s*mS/cm$,2,"other-undescribed, soil",primary
bulk_elect_conductivity,pattern,^\d+(\.\d+)?\s*mS/cm|did not collect|failed,1,monet-soil,modification
bulk_elect_conductivity,title,bulk electrical conductivity,3,"other-undescribed, soil, monet-soil",primary
bulk_elect_conductivity,type,string,3,"other-undescribed, soil, monet-soil",primary
